Country,Year,Normalized_GDP,Normalized_Population,Normalized_Per_Capita_GDP,participants,sport_count,event_count,Gold,Silver,Bronze,Total,Host,Is_host,Coach_effect
Australia,1972,0.0135711102274807,0.003435001795596,0.2831181095031088,266,20,110,11,7,2,20,West Germany,0,0
Brazil,1972,0.0152389092850054,0.0261162274458974,0.0289906237226988,104,13,44,0,0,2,2,West Germany,0,1
Canada,1972,0.0295952973338843,0.005792963635059,0.3279285640583443,344,18,136,0,2,9,11,West Germany,0,1
Switzerland,1972,0.0096062180527781,0.001631337075401,0.3740661894944661,265,17,116,0,8,0,8,West Germany,0,0
Spain,1972,0.015409873146303,0.0090231631604413,0.1066146541116101,162,17,59,0,0,1,1,West Germany,0,1
Finland,1972,0.003840662347525,0.0012085115689139,0.1995024622086389,133,16,75,3,1,6,10,West Germany,0,1
France,1972,0.0525945740850608,0.01381079509558,0.2446202004648071,356,18,132,2,5,15,22,West Germany,0,1
Greece,1972,0.0043379545995653,0.0023166189045282,0.1223472918193518,66,9,46,0,2,0,2,West Germany,0,0
Italy,1972,0.0379778577514533,0.0141808593111409,0.1692464970012439,345,19,123,9,3,13,25,West Germany,0,0
Japan,1972,0.0847650726755584,0.0279525329174691,0.1851837781988657,293,21,113,29,19,8,56,West Germany,0,1
Mexico,1972,0.0117861066972737,0.0140892743580313,0.0690185321057451,281,20,112,0,1,0,1,West Germany,0,0
New Zealand,1972,0.0024900063522214,0.0007558360706477,0.2087487753218175,112,14,63,9,4,1,14,West Germany,0,1
United States,1972,0.3336971933376726,0.0547381918984962,0.3963560239391624,574,21,184,69,59,43,171,West Germany,0,1
Australia,1976,0.0160140799993737,0.0033915473724126,0.2624983891076345,274,20,115,0,15,8,23,Canada,0,1
Brazil,1976,0.0233491150067146,0.0266473829242946,0.0340833044823217,89,12,47,0,0,3,3,Canada,0,0
Canada,1976,0.0315982086918015,0.0056684754616593,0.2795025659219507,531,23,173,0,9,14,23,Canada,1,1
Switzerland,1976,0.010436038770026,0.0015223594813344,0.3412776325012199,101,12,41,1,3,6,10,Canada,0,0
Spain,1976,0.0180513864300732,0.0087363592609333,0.1013263856860163,160,14,68,0,6,0,6,Canada,0,1
Finland,1976,0.0048519449905265,0.0011410889607665,0.2097913952674356,108,14,63,4,2,0,6,Canada,0,0
France,1976,0.0561788398496851,0.0131115187600723,0.2158218066367973,302,18,128,5,7,8,20,Canada,0,1
Greece,1976,0.0046792267146116,0.0022200914976421,0.1084709705286913,40,8,34,0,0,0,0,Canada,0,0
Italy,1976,0.0343370303812682,0.0134707949690027,0.1259395043582332,312,20,122,2,25,4,31,Canada,0,0
Japan,1976,0.0913073574673641,0.0272667748792699,0.1607743232106904,328,20,119,25,6,10,41,Canada,0,0
Mexico,1976,0.0135463386511529,0.0146621751565988,0.0597122662537798,137,17,54,1,0,1,2,Canada,0,0
New Zealand,1976,0.0020697424503758,0.0007505519252509,0.1382079331720593,98,13,52,15,1,9,25,Canada,0,1
United States,1976,0.2856345551842948,0.052718015965857,0.2754467703315533,554,19,189,70,58,36,164,Canada,0,0
Australia,1980,0.0130953667175843,0.0033091426095056,0.2372690559575173,190,17,92,6,2,5,13,Soviet Union,0,0
Brazil,1980,0.0207292249497277,0.0273121140534131,0.0281751818817581,149,14,72,4,0,5,9,Soviet Union,0,1
Switzerland,1980,0.0106996601640954,0.0014224016162193,0.3906901410670614,86,10,45,2,0,0,2,Soviet Union,0,1
Spain,1980,0.0203106968489505,0.0084468728629562,0.1244333663598891,211,18,75,2,19,3,24,Soviet Union,0,0
Finland,1980,0.0046813085281867,0.0010753953947821,0.2257341295809795,125,16,71,3,1,5,9,Soviet Union,0,0
France,1980,0.0606549891143533,0.0124542281636431,0.2562997427453667,200,13,85,18,5,6,29,Soviet Union,0,0
Greece,1980,0.0048899850089659,0.0021712525496658,0.122407676448233,45,8,31,1,0,4,5,Soviet Union,0,0
Italy,1980,0.0417747602743682,0.0127155632010095,0.1701521435629022,203,19,88,8,21,8,37,Soviet Union,0,0
Mexico,1980,0.0179504498966544,0.0151642885841688,0.0733050365847601,74,12,43,0,1,9,10,Soviet Union,0,1
New Zealand,1980,0.0020257305512861,0.0006998236990222,0.1489871322211566,7,2,5,0,0,0,0,Soviet Union,0,0
