Country,Year,Normalized_GDP,Normalized_Population,Normalized_Per_Capita_GDP,participants,sport_count,event_count,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Medals
Argentina,1972,0.0090554025362565,0.0064256153527832,0.0965614395560628,123.0,12.0,62.0,0.0,1.0,0.0,1.0
Australia,1972,0.0135711102274807,0.003435001795596,0.2831181095031088,266.0,20.0,110.0,11.0,7.0,2.0,20.0
Austria,1972,0.0057265384348022,0.0019660000321241,0.1842996558091026,143.0,15.0,68.0,0.0,1.0,2.0,3.0
Belgium,1972,0.0097014676811437,0.0025311188100694,0.2427085050068767,106.0,14.0,51.0,0.0,2.0,0.0,2.0
Benin,1972,0.000101064236984,0.000835024428419,0.0053127622608075,3.0,2.0,3.0,0.0,0.0,0.0,0.0
Burkina Faso,1972,0.00014496204091,0.0015130089727782,0.0040500995217254,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Belize,1972,1.1232025769517258e-05,3.103034669352468e-05,0.0203472889224809,2.0,1.0,2.0,0.0,0.0,0.0,0.0
Bermuda,1972,5.542678840606746e-05,1.228627935754926e-05,0.4046322609345432,9.0,3.0,4.0,0.0,0.0,0.0,0.0
Brazil,1972,0.0152389092850054,0.0261162274458974,0.0289906237226988,104.0,13.0,44.0,0.0,0.0,2.0,2.0
Barbados,1972,4.977212746705151e-05,6.362493748262323e-05,0.0705816888764548,20.0,4.0,13.0,0.0,0.0,0.0,0.0
Canada,1972,0.0295952973338843,0.005792963635059,0.3279285640583443,344.0,18.0,136.0,0.0,2.0,9.0,11.0
Switzerland,1972,0.0096062180527781,0.001631337075401,0.3740661894944661,265.0,17.0,116.0,0.0,8.0,0.0,8.0
Chile,1972,0.0030813259083869,0.0026520133892086,0.0758240393133681,13.0,5.0,9.0,0.0,0.0,0.0,0.0
Cameroon,1972,0.0003848884381015,0.0017737088459378,0.0146824895777237,18.0,3.0,12.0,0.0,0.0,0.0,0.0
Colombia,1972,0.0022562588122924,0.0056889327964921,0.0324912201248064,75.0,8.0,39.0,0.0,1.0,2.0,3.0
Costa Rica,1972,0.0003170577657046,0.0005039995519116,0.0485904809709218,4.0,3.0,4.0,0.0,0.0,0.0,0.0
Denmark,1972,0.0060545933113172,0.0013002952472654,0.2958099151802488,155.0,17.0,73.0,1.0,0.0,0.0,1.0
Dominican Republic,1972,0.0005125008244329,0.0012117000397896,0.0305149181448821,5.0,3.0,4.0,0.0,0.0,0.0,0.0
Algeria,1972,0.0017593695641515,0.0037610134236457,0.0286278583777879,7.0,2.0,5.0,0.0,0.0,0.0,0.0
Ecuador,1972,0.00082519636114,0.0017012502845796,0.0280125953707888,4.0,2.0,4.0,0.0,0.0,0.0,0.0
Spain,1972,0.015409873146303,0.0090231631604413,0.1066146541116101,162.0,17.0,59.0,0.0,0.0,1.0,1.0
Finland,1972,0.003840662347525,0.0012085115689139,0.1995024622086389,133.0,16.0,75.0,3.0,1.0,6.0,10.0
Fiji,1972,7.662559227326535e-05,0.0001420825496794,0.033831936817842,4.0,1.0,4.0,0.0,0.0,0.0,0.0
France,1972,0.0525945740850608,0.01381079509558,0.2446202004648071,356.0,18.0,132.0,2.0,5.0,15.0,22.0
Gabon,1972,0.0001063280240694,0.000160458375491,0.0529091673948566,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Ghana,1972,0.0005450838584297,0.0024599407486295,0.0274398723451328,41.0,3.0,17.0,0.0,0.0,1.0,1.0
Greece,1972,0.0043379545995653,0.0023166189045282,0.1223472918193518,66.0,9.0,46.0,0.0,2.0,0.0,2.0
Guatemala,1972,0.0005422158545148,0.0014805659034662,0.0173414394870788,11.0,3.0,10.0,0.0,0.0,0.0,0.0
Guyana,1972,6.846616947794957e-05,0.0001867091454024,0.0374237065158801,4.0,2.0,4.0,0.0,0.0,0.0,0.0
Haiti,1972,9.106368180387656e-05,0.0012539448013471,0.0032803044915271,7.0,1.0,7.0,0.0,0.0,0.0,0.0
India,1972,0.0186382258404841,0.1487769954278827,0.0047649589359517,43.0,7.0,27.0,0.0,0.0,14.0,14.0
